phoneNumber,cif,wingNo,wingMasterAccount,passcode,biller,reciver_wingNo,currency,,,,,wingNo
12784556,10913,00527147,MST006734098,2008,2161,10513331,USD,712887199,712887199,,,00527147
10513331,11635,10513331,MST006589956,2008,2204,2041400,USD,889181374,889181374,,,10513331
78683323,8105,02041400,MST006691098,2008,2217,11787122,USD,85561239,85561239,,,02041400
69866872,11099,11787122,MST006656407,2008,2231,15557706,USD,719806037,719806037,,,11787122
15557706,8706,15557706,MST006639812,2008,2165,1570672,USD,719912885,719912885,,,15557706
12984497,6993,01570672,MST006691000,2008,2174,1604040,USD,93455798,4408890,,,01570672
77285286,582,01604040,MST006727276,2008,2180,1679799,USD,15778491,4241644,,,01604040
77500797,7945,01679799,MST006617039,2008,2220,1686898,USD,78257708,4058050,,,01679799
16362797,7112,01686898,MST006659569,2008,2247,17245552,USD,973467833,973467833,,,01686898
17245552,7928,17245552,MST006574095,2008,2250,1777719,USD,888787975,888787975,,,17245552
89927979,7757,01777719,MST006583253,2008,2168,1958737,USD,87609165,3902452,,,01777719
77601309,7906,01958737,MST006598162,2008,2170,4145074,USD,81812064,4405043,,,
93710472,8019,04145074,MST006586002,2008,2179,2350439,USD,968003607,3686478,,,
93440270,8392,02350439,MST006708290,2008,2187,2518050,USD,17603776,4412774,,,
98866263,8061,02518050,MST006597504,2008,2188,2521611,USD,963599987,963599987,,,
86555538,8513,02521611,MST006600705,2008,2467,2724156,USD,718616029,718616029,,,
70219888,7237,02724156,MST006594554,2008,2437,2727037,USD,718565802,718565802,,,
69470234,9620,02727037,MST006597894,2008,2442,2778043,USD,69500123,4091728,,,
12316762,7153,02778043,MST006611956,2008,2439,3053197,USD,17499274,17499274,,,
10802198,10017,03053197,MST006638912,2008,2335,3061215,USD,886544441,886544441,,,
87666112,8534,03061215,MST006675180,2008,2381,3112266,USD,85725189,3870625,,,
16383931,7207,03112266,MST006713790,2008,2383,3183759,USD,69353294,4364374,,,
95963458,11096,03183759,MST006693590,2008,2421,3202005,USD,78253983,78253983,,,
86789044,7481,03202005,MST006755743,2008,2424,3313084,USD,68491437,68491437,,,
12799713,11627,03313084,MST006733299,2008,2426,3423393,USD,964423171,4476476,,,
17484729,11134,03423393,MST006595730,2008,2466,3556999,USD,963385210,963385210,,,
966846794,8408,03556999,MST006667804,2008,2294,3564924,USD,963569876,4470932,,,
69662458,7438,03564924,MST006708636,2008,2443,3770041,USD,882972043,882972043,,,
969960655,13163,03770041,MST006588470,2008,2452,4036578,USD,77907000,4048093,,,
979767465,12193,04036578,MST006615654,2008,2266,4214157,USD,15415010,4412780,,,
93567687,7649,04214157,MST006608383,2008,2269,4268878,USD,17994198,3819768,,,
12646003,6714,04268878,MST006605908,2008,2301,69655553,USD,886242609,886242609,,,
78998827,3981,69655553,MST006743984,2008,2404,69778829,USD,966941811,966941811,,,
69778829,7470,69778829,MST006692360,2008,2420,89290639,USD,714748451,714748451,,,
98811818,8107,89290639,MST006594624,2008,2274,2202504568,USD,965928472,4136341,,,
10725778,4671,2202504568,MST006715924,2008,2304,282252,USD,11298285,4419024,,,
90899448,7791,00282252,MST006680655,2008,2306,291806,USD,979502064,4407625,,,
17388803,6854,00291806,MST006678733,2008,2414,1659767,USD,968111712,4400892,,,
12868706,7049,01659767,MST006687009,2008,2207,947863,USD,965818903,1934024,,,
81209579,10680,00947863,MST006572100,2008,2203,479357,USD,70400953,70400953,,,
92952727,8558,00479357,MST006650190,2008,2221,910036,USD,90232177,4088181,,,
92725457,6692,00910036,MST006648799,2008,2236,292096,USD,885138276,885138276,,,
12292755,5336,00292096,MST006654845,2008,2171,12218702,USD,66961382,66961382,,,
12218702,11441,12218702,MST006725446,2008,2241,1619382,USD,968949807,968949807,,,
12927405,6997,01619382,MST006658666,2008,2163,17373775,USD,977546183,977546183,,,
17373775,9622,17373775,MST006658059,2008,2191,1010655,USD,17406159,4100877,,,
17552726,6715,01010655,MST006637648,2008,2202,12755067,USD,972528743,4470531,,,
12755067,9265,12755067,MST006637652,2008,2209,1772114,USD,87475439,3260023,,,
77332277,9050,01772114,MST006586587,2008,2224,1555978,USD,11440405,4117257,,,
92668568,6754,01555978,MST006646171,2008,2319,2366777,USD,882769134,882769134,,,
86251228,9297,02366777,MST006712413,2008,2349,3212345,USD,99427616,99427616,,,
93599981,11654,03212345,MST006627307,2008,2372,1749303,USD,969987445,969987445,,,
962801707,7246,01749303,MST006623596,2008,2484,1816141,USD,716110025,716110025,,,
10516171,515,01816141,MST006613104,2008,2518,4101000,USD,966591085,4468655,,,
966661784,10523,04101000,MST006581585,2008,2457,17318418,USD,11901045,3528073,,,
17318481,10012,17318418,MST006685741,2008,2448,1972604,USD,60460006,3793522,,,
86886969,13823,01972604,MST006625874,2008,2427,2052168,USD,78589494,4386047,,,
16969404,204,02052168,MST006617745,2008,2468,17555209,USD,888287644,888287644,,,
77323535,9971,17555209,MST006655627,2008,2485,770573,USD,968958409,4322293,,,
95477798,2671,00770573,MST006673800,2008,2504,780046,USD,962529042,962529042,,,
12711766,2604,00780046,MST006665785,2008,2308,3502022,USD,967324181,4211042,,,
86902702,11633,03502022,MST006592099,2008,2360,999323,USD,99303746,99303746,,,
77906910,1026,00999323,MST006582935,2008,2425,15702335,USD,962647443,3834913,,,
99995788,1884,15702335,MST006596614,2008,2444,1615307,USD,12282525,4452607,,,
16209084,7317,01615307,MST006610594,2008,2256,1652430,USD,718199411,718199411,,,
93697523,7058,01652430,MST006707373,2008,2298,3511527,USD,887889576,887889576,,,
12566042,9843,03511527,MST006577690,2008,2413,3731894,USD,66465765,3541416,,,
86227307,12514,03731894,MST006658872,2008,2271,2784515,USD,70899121,4122096,,,
716448956,9799,02784515,MST006738466,2008,2275,1013496,USD,714960038,714960038,,,
12863259,5259,01013496,MST006755058,2008,2276,2861622,USD,978799074,4452520,,,
10561197,9872,02861622,MST006617487,2008,2282,1754685,USD,889116609,3823334,,,
78499964,11791,01754685,MST006693702,2008,2320,761683,USD,969620754,4143364,,,
89981119,2167,00761683,MST006603701,2008,2344,2268334,USD,10487273,4388672,,,
77573337,12769,02268334,MST006701079,2008,2345,16476784,USD,67768133,67768133,,,
16476784,397,16476784,MST006645325,2008,2397,2304349,USD,78736112,78736112,,,
61465214,8130,02304349,MST006724567,2008,2399,12250052,USD,16407353,4068859,,,
12250052,10174,12250052,MST006751861,2008,2193,17625251,USD,714991938,714991938,,,
98471551,12455,17625251,MST006733834,2008,2223,1802289,USD,87455270,4193259,,,
312202222,10266,01802289,MST006610204,2008,2238,2707593,USD,70200753,70200753,,,
12539148,8550,02707593,MST006597350,2008,2239,2844141,USD,889695211,4475988,,,
92896818,7617,02844141,MST006747136,2008,2249,17780030,USD,12913094,1885542,,,
17780030,7021,17780030,MST006707028,2008,2252,3984751,USD,93275590,4360644,,,
85557846,14535,03984751,MST006630827,2008,2254,2271330,USD,885558775,885558775,,,
87797901,11526,02271330,MST006722354,2008,2167,4419020,USD,718471083,718471083,,,
962820131,3418,04419020,MST006682968,2008,2177,3730927,USD,714730865,714730865,,,
976255727,12721,03730927,MST006673294,2008,2185,3088389,USD,968651468,968651468,,,
70888118,5970,03088389,MST006616887,2008,2226,3338715,USD,717293090,4396577,,,
16461454,11470,03338715,MST006744153,2008,2606,3355869,USD,99552919,3633139,,,
969262626,11962,03355869,MST006615754,2008,2473,1819520,USD,85933961,3690140,,,
17950389,9166,01819520,MST006578204,2008,2513,2233394,USD,715263522,715263522,,,
12334448,12423,02233394,MST006577246,2008,2358,2340361,USD,714803352,4316028,,,
966453927,10153,02340361,MST006714176,2008,2359,4100748,USD,966652598,4401963,,,
69281339,2359,04100748,MST006645123,2008,2422,3354112,USD,887463988,887463988,,,
92867779,12430,03354112,MST006608788,2008,2430,3384942,USD,66923421,66923421,,,
966988814,10944,03384942,MST006654427,2008,2440,4306040,USD,69898397,4097432,,,
17200032,7598,04306040,MST006623404,2008,2258,2471930,USD,964744942,964744942,,,
12486420,9417,02471930,MST006594880,2008,2259,2541809,USD,85561386,85561386,,,
85748196,9416,02541809,MST006589390,2008,2263,2601585,USD,99261075,99261075,,,
77474333,8739,02601585,MST006748032,2008,2299,4418687,USD,974435361,974435361,,,
93877789,3321,04418687,MST006661232,2008,2410,81999277,USD,887966195,4397116,,,
81999277,5804,81999277,MST006628472,2008,2161,70376296,USD,883234090,4461903,,,
70376296,12666,70376296,MST006663581,2008,2204,12870778,USD,975887424,4485323,,,
12870778,12347,12870778,MST006659331,2008,2217,10777722,USD,15602171,3793110,,,
10777722,820,10777722,MST006630589,2008,2231,12811143,USD,963084635,963084635,,,
85382268,8544,12811143,MST006664221,2008,2165,1640368,USD,966277265,4369608,,,
93233746,7416,01640368,MST006710688,2008,2174,16441929,USD,78404338,3316525,,,
16441929,9596,16441929,MST006607633,2008,2180,17231654,USD,963290482,4339516,,,
17231654,12010,17231654,MST006713521,2008,2220,4145171,USD,81260317,4199200,,,
968676562,1630,04145171,MST006725723,2008,2247,3605598,USD,15885652,3787536,,,
95767890,14932,03605598,MST006653654,2008,2250,3792402,USD,89402442,89402442,,,
95867646,12139,03792402,MST006650627,2008,2168,4141877,USD,973118439,973118439,,,
973383493,1097,04141877,MST006599354,2008,2170,3731525,USD,963755264,3786539,,,
92878234,14866,03731525,MST006647871,2008,2179,4419462,USD,11499715,4396467,,,
963999512,3050,04419462,MST006668820,2008,2187,3822946,USD,87818014,4428047,,,
87980666,568,03822946,MST006655517,2008,2188,68999863,USD,86683836,3985309,,,
99973636,12191,68999863,MST006613819,2008,2467,771277,USD,15533446,3274460,,,
12787051,1160,00771277,MST006712753,2008,2437,2362131,USD,70447878,4240721,,,
12533954,6827,02362131,MST006573707,2008,2442,81636668,USD,963290560,963290560,,,
81636668,8593,81636668,MST006755973,2008,2439,3589309,USD,888286054,888286054,,,
61782179,12263,03589309,MST006609882,2008,2335,4418328,USD,975801704,975801704,,,
975519219,14601,04418328,MST006703866,2008,2381,3730895,USD,60634190,4396523,,,
95966980,11893,03730895,MST006728078,2008,2383,4100606,USD,98779942,4136417,,,
89451119,2597,04100606,MST006680119,2008,2421,15214414,USD,886682133,886682133,,,
89214414,9629,15214414,MST006687967,2008,2424,4172333,USD,17441662,4435498,,,
77440862,1207,04172333,MST006656663,2008,2426,3817152,USD,882657293,4453413,,,
95939399,13114,03817152,MST006581267,2008,2466,69510155,USD,12744487,4270784,,,
69510155,9884,69510155,MST006648475,2008,2294,4101424,USD,81461660,3812980,,,
318989333,2224,04101424,MST006628613,2008,2443,4060603,USD,965621003,4192642,,,
86988378,10366,04060603,MST006588588,2008,2452,4142463,USD,66642352,66642352,,,
92446844,572,04142463,MST006600363,2008,2266,4309077,USD,716251595,716251595,,,
11819962,14107,04309077,MST006684645,2008,2269,3538084,USD,719782938,719782938,,,
93367695,11764,03538084,MST006722513,2008,2301,4145227,USD,61924830,61924830,,,
17290071,1390,04145227,MST006598571,2008,2404,4169754,USD,93535398,4431113,,,
78447262,14710,04169754,MST006694308,2008,2420,4012832,USD,69807638,3308677,,,
12972792,12838,04012832,MST006610598,2008,2274,4418648,USD,67345590,4419073,,,
86250017,4046,04418648,MST006660247,2008,2304,85389731,USD,93889516,3819570,,,
712222349,14115,85389731,MST006651715,2008,2306,4141771,USD,972079788,4411378,,,
93732844,15031,04141771,MST006660924,2008,2414,4100885,USD,969721896,969721896,,,
17664772,14137,04100885,MST006648210,2008,2207,4141818,USD,87298631,87298631,,,
976298180,1185,04141818,MST006752621,2008,2203,92384961,USD,86567706,4468531,,,
92384961,10712,92384961,MST006628857,2008,2221,962525254,USD,87986788,87986788,,,
78211971,14428,962525254,MST006654153,2008,2236,884833933,USD,882104703,4116628,,,
884833933,6167,884833933,MST006647135,2008,2171,4032333,USD,17656005,4393902,,,
95335783,11793,04032333,MST006667088,2008,2241,4172472,USD,969450281,4421785,,,
81580790,1422,04172472,MST006671480,2008,2163,78556787,USD,87451269,87451269,,,
78556787,1156,78556787,MST006651601,2008,2191,3749505,USD,969673814,4476070,,,
882076788,13331,03749505,MST006629217,2008,2202,4142233,USD,93796562,1956653,,,
882382283,919,04142233,MST006599434,2008,2209,4172323,USD,962251133,962251133,,,
965353288,1198,04172323,MST006632304,2008,2224,89567822,USD,715710745,715710745,,,
92785585,7035,89567822,MST006632192,2008,2319,4142259,USD,89878767,4033936,,,
85801573,999,04142259,MST006639894,2008,2349,3960777,USD,98778850,4269617,,,
964758359,12927,03960777,MST006639990,2008,2372,962316070,USD,17267447,4435153,,,
962724788,1799,962316070,MST006591822,2008,2484,966153443,USD,92939258,92939258,,,
966810671,13941,966153443,MST006722677,2008,2518,776555,USD,77700049,4419162,,,
12315445,623,00776555,MST006583029,2008,2457,10250200,USD,68348004,68348004,,,
12350100,1959,10250200,MST006698680,2008,2448,10284694,USD,968757311,954879,,,
10284694,6809,10284694,MST006588382,2008,2427,2077936,USD,85719585,4139015,,,
10700377,8205,02077936,MST006586507,2008,2468,2097848,USD,888381282,888381282,,,
10353833,8094,02097848,MST006651429,2008,2485,2278888,USD,966604086,2330978,,,
69727239,7251,02278888,MST006738925,2008,2504,12330996,USD,883851800,883851800,,,
12300996,7935,12330996,MST006746986,2008,2308,16376998,USD,10305522,4423705,,,
99376998,5159,16376998,MST006733670,2008,2360,1698888,USD,883897356,883897356,,,
16800765,2070,01698888,MST006691418,2008,2425,1794738,USD,10862873,4421497,,,
69889161,7953,01794738,MST006747609,2008,2444,1896430,USD,11501624,11501624,,,
12529455,4737,01896430,MST006678637,2008,2256,4141794,USD,884637876,884637876,,,
87333133,6337,04141794,MST006642312,2008,2298,4142139,USD,962184607,4476114,,,
10228803,8174,04142139,MST006712645,2008,2413,4149601,USD,95446865,95446865,,,
93535893,7186,04149601,MST006586116,2008,2271,4172348,USD,964338832,4434637,,,
77883635,11775,04172348,MST006605815,2008,2275,4172434,USD,968250303,4397267,,,
93729133,7847,04172434,MST006605397,2008,2276,2366549,USD,15284192,15284192,,,
86384362,11236,02366549,MST006608750,2008,2282,2477772,USD,885717723,885717723,,,
92820040,8317,02477772,MST006745150,2008,2320,2485777,USD,718035465,718035465,,,
93850878,6697,02485777,MST006599780,2008,2344,3041876,USD,90446488,4421842,,,
92332021,10706,03041876,MST006576890,2008,2345,3047079,USD,886745325,886745325,,,
15709168,2289,03047079,MST006691637,2008,2397,3053402,USD,975048856,4396549,,,
882395407,9462,03053402,MST006594297,2008,2399,3088332,USD,81322045,4107530,,,
15636316,6348,03088332,MST006657754,2008,2193,3130598,USD,963960416,4333747,,,
964245506,5634,03130598,MST006772468,2008,2223,3139668,USD,77872022,3905033,,,
17618161,9760,03139668,MST006600082,2008,2238,3146421,USD,81348254,4485453,,,
12751479,4970,03146421,MST006735710,2008,2239,3246659,USD,966531767,4421891,,,
86851718,7837,03246659,MST006708854,2008,2249,3323893,USD,714656795,714656795,,,
10680166,9949,03323893,MST006687207,2008,2252,3338604,USD,962374844,962374844,,,
98227573,8110,03338604,MST006732512,2008,2254,3523835,USD,712732596,4469484,,,
70821224,10800,03523835,MST006583855,2008,2167,3550386,USD,967879640,3988821,,,
86600647,12392,03550386,MST006656505,2008,2177,3606898,USD,93633948,93633948,,,
81562620,8932,03606898,MST006675367,2008,2185,3629737,USD,90778863,90778863,,,
16775472,12606,03629737,MST006640676,2008,2226,3698349,USD,886070156,886070156,,,
93210888,8202,03698349,MST006575359,2008,2606,3736287,USD,718436036,718436036,,,
87643089,10601,03736287,MST006742036,2008,2473,3755172,USD,968252093,4399727,,,
86481802,6855,03755172,MST006754272,2008,2513,3805054,USD,887170263,887170263,,,
86380079,7177,03805054,MST006706799,2008,2358,4048998,USD,10688321,10688321,,,
967716977,7742,04048998,MST006614761,2008,2359,4178284,USD,889553674,4485150,,,
93979700,11812,04178284,MST006677089,2008,2422,4221890,USD,69308753,4419456,,,
99910095,7228,04221890,MST006641316,2008,2430,4223356,USD,90298028,90298028,,,
70612634,12308,04223356,MST006607780,2008,2440,4323538,USD,92218829,4290944,,,
86263827,13518,04323538,MST006606382,2008,2258,4440591,USD,716377147,716377147,,,
17374797,7702,04440591,MST006606897,2008,2259,61611527,USD,975078686,975078686,,,
10590072,7421,61611527,MST006641992,2008,2263,77333354,USD,16802080,3387052,,,
81948885,7149,77333354,MST006584181,2008,2299,78989703,USD,67697403,67697403,,,
93888087,7320,78989703,MST006585452,2008,2410,87727745,USD,81569161,2614670,,,
977622979,7765,87727745,MST006592197,2008,2161,92188168,USD,715514927,715514927,,,
92188168,7647,92188168,MST006633616,2008,2204,93411111,USD,969614850,4428108,,,
98242677,7825,93411111,MST006663284,2008,2217,962527334,USD,78961374,78961374,,,
81295452,11594,962527334,MST006721577,2008,2231,965414911,USD,78980009,78980009,,,
15614911,11617,965414911,MST006579109,2008,2165,2516868295,USD,714664740,714664740,,,
963446481,7929,2516868295,MST006741740,2008,2174,2105513039,USD,87768273,4331060,,,
78789686,3048,2105513039,MST006598657,2008,2180,2168233017,USD,889250211,889250211,,,
12432234,6661,2168233017,MST006599864,2008,2220,2295857290,USD,715217640,715217640,,,
769899998,826,2295857290,MST006600635,2008,2247,2923306502,USD,66905762,66905762,,,
89776997,7877,2923306502,MST006721715,2008,2250,2535178728,USD,972895242,972895242,,,
69981815,9038,2535178728,MST006721647,2008,2168,2537485028,USD,967145676,4199746,,,
77362035,8591,2537485028,MST006647255,2008,2170,2538237775,USD,10793103,4418907,,,
10487716,7668,2538237775,MST006642429,2008,2179,2565243228,USD,885499276,885499276,,,
10796684,9102,2565243228,MST006587021,2008,2187,2641040393,USD,886775099,4251527,,,
92704473,9800,2641040393,MST006734282,2008,2188,2664711510,USD,717911409,717911409,,,
17611178,8947,2664711510,MST006664523,2008,2467,2704006445,USD,12824968,4394041,,,
12859486,8043,2704006445,MST006692679,2008,2437,2711458570,USD,883467250,883467250,,,
963053398,9005,2711458570,MST006614141,2008,2442,2746489779,USD,719872561,719872561,,,
98355255,8475,2746489779,MST006675252,2008,2439,2817462302,USD,977104848,4483520,,,
16474139,8149,2817462302,MST006624146,2008,2335,2820806932,USD,962514545,4300582,,,
86441923,7032,2820806932,MST006725639,2008,2381,684779,USD,93811732,3350516,,,
